recipient,region,SIDS,income,total_commitment,commitment_per_capita,ECON_vulnerability,ENV_vulnerability,ECON_lack_resilience,ENV_lack_resilience,CRDF_PER_CAPITA_2015,CRDF_PER_CAPITA_2016,CRDF_PER_CAPITA_2017,CRDF_PER_CAPITA_2018,CRDF_PER_CAPITA_2019,CRDF_PER_CAPITA_2020,CRDF_PER_CAPITA_2021,CRDF_PER_CAPITA_2022,CRDF_PER_CAPITA_2023
Indonesia,Asia,0,UMICs,24559002724.499912,89.58805825256796,12.54066183212126,31.4079556312071,35.4011154510231,41.64178013519623,9.072542520450835,1.8461727285530543,8.616950689683732,10.358790079602219,6.191787801180729,10.674956273705419,9.057311746533832,11.864854680775048,21.90469173208309
Iran,Middle East,0,LMICs,138107724.42661515,1.580422197166254,40.86493134181037,54.12674372879963,26.90206098775148,72.12084207552904,0.04637804199650025,0.04779716315308282,0.06201772677990748,0.3253382484849587,0.34332681668581083,0.18422427910899142,0.22576923814606556,0.32350200304286586,0.022068679768070993
Iraq,Middle East,0,UMICs,5131670995.234832,125.05102250867178,65.44407581850858,55.3751671822144,43.3709606966203,78.08080796220456,21.678254898983575,8.72197994363823,19.332961571086955,18.251184510227624,6.97386854804112,3.8752785742643345,10.919020295437184,25.244676817838045,10.053797349154724
Jamaica,Latin America & the Caribbean,1,UMICs,1135300097.5213857,400.5861948859722,51.602441274594426,58.20212900098511,50.310928447280055,55.85246526158984,5.711800789555824,17.55179922543709,30.92659531101265,18.890767484086734,10.619607521517612,25.719299954990575,7.732810902873397,4.222054187854584,279.2114595086437
Jordan,Middle East,0,LMICs,6861382504.396465,645.1942513082724,39.0879048354458,54.98286040309152,38.341579634201516,92.27095229769063,72.46651496627732,88.82375509538227,62.12357727704803,47.36965499042608,80.38618809740458,55.98872074728449,64.79305705980848,84.52241281221251,88.72037026242873
Kazakhstan,Asia,0,UMICs,3509232537.1068296,184.1297252975685,39.471289451514835,53.84786477581732,41.52281588045662,62.113153271966745,23.021556581275938,28.879957576536565,26.893497982451116,10.936436435633873,28.4296463052715,20.31309090232237,21.772688572979327,11.439911367151081,12.442939573946742
Kenya,Africa,0,LMICs,11657387883.871023,225.19691046293292,19.81844974478579,55.411503297224804,43.25241106240764,76.0071030253502,19.575154134167853,21.423990226655487,20.30605523029344,13.447367423185204,30.399605212072398,35.694401583583506,16.006182989610043,22.30256459596366,46.04158906740132
Kiribati,Oceania,1,LDCs,393352249.91367376,3132.9620017533825,66.66440049246575,50.265640634450754,76.28460588258201,67.38656660131058,18.001119311915897,448.4685620274384,160.27649076546237,354.97359477040226,461.02941250018455,438.12801167504523,454.4399975989472,450.4129182332574,347.2318948707299
Kosovo,Europe,0,UMICs,1119083675.6690943,634.144651731586,,,,,64.5586272271468,37.50927168845302,9.127603881545859,58.46398121090733,97.7176700984087,55.94632606293539,41.646471630795155,155.37284538756174,113.80185454383209
Kyrgyzstan,Asia,0,LMICs,1428634787.2598054,215.70114134735695,38.85908921443262,46.14236032610046,39.28790178149212,67.32288382299687,23.018597967110825,27.06742645901634,19.837504235124563,15.376437130097228,25.98403858243105,15.23070812874695,19.45828475716139,30.52710431256658,39.20103977510199
